buy_threshold,wait_threshold,rows,buy_now_rows,uncertain_rows,wait_rows,buy_now_rate,uncertain_rate,wait_rate,decisive_rate,buy_now_actual_drop_rate,uncertain_actual_drop_rate,wait_actual_drop_rate,avg_conservative_saving_decisive_rows,avg_conservative_saving_all_rows,pct_pays_more_decisive_rows,pct_wait_pays_more_conservative,horizon
0.325,0.55,255642,119187,55864,80591,0.4662,0.2185,0.3152,0.7815,0.1724,0.4454,0.763,2.9504,2.3057,0.0974,0.2415,30
0.325,0.575,255642,119187,61158,75297,0.4662,0.2392,0.2945,0.7608,0.1724,0.4578,0.7753,3.0107,2.2905,0.091,0.2349,30
0.325,0.6,255642,119187,66365,70090,0.4662,0.2596,0.2742,0.7404,0.1724,0.4705,0.7869,3.076,2.2775,0.0847,0.2288,30
0.325,0.625,255642,119187,71569,64886,0.4662,0.28,0.2538,0.72,0.1724,0.4826,0.7989,3.136,2.2581,0.0784,0.2225,30
0.325,0.65,255642,119187,76599,59856,0.4662,0.2996,0.2341,0.7004,0.1724,0.4942,0.8106,3.1913,2.235,0.072,0.2153,30
0.325,0.675,255642,119187,81783,54672,0.4662,0.3199,0.2139,0.6801,0.1724,0.5062,0.8227,3.2323,2.1982,0.0653,0.2078,30
0.325,0.7,255642,119187,86944,49511,0.4662,0.3401,0.1937,0.6599,0.1724,0.5179,0.835,3.2556,2.1484,0.0587,0.2,30
0.325,0.725,255642,119187,92295,44160,0.4662,0.361,0.1727,0.639,0.1724,0.5309,0.8463,3.2681,2.0882,0.052,0.1922,30
0.325,0.75,255642,119187,97649,38806,0.4662,0.382,0.1518,0.618,0.1724,0.5441,0.8568,3.225,1.9931,0.0453,0.1845,30
0.325,0.775,255642,119187,102976,33479,0.4662,0.4028,0.131,0.5972,0.1724,0.5556,0.8711,3.1668,1.8912,0.0384,0.1751,30
0.325,0.8,255642,119187,108420,28035,0.4662,0.4241,0.1097,0.5759,0.1724,0.568,0.8844,3.0571,1.7605,0.0316,0.1658,30
0.325,0.825,255642,119187,113423,23032,0.4662,0.4437,0.0901,0.5563,0.1724,0.5793,0.8977,2.8531,1.5872,0.0253,0.1563,30
0.325,0.85,255642,119187,118111,18344,0.4662,0.462,0.0718,0.538,0.1724,0.5898,0.9113,2.641,1.4208,0.0197,0.1477,30
0.325,0.875,255642,119187,122598,13857,0.4662,0.4796,0.0542,0.5204,0.1724,0.6005,0.9207,2.3314,1.2133,0.0143,0.1371,30
0.325,0.9,255642,119187,126629,9826,0.4662,0.4953,0.0384,0.5047,0.1724,0.6097,0.9338,1.9762,0.9973,0.0095,0.1252,30
0.35,0.45,255642,126846,26137,102659,0.4962,0.1022,0.4016,0.8978,0.1837,0.4127,0.7095,2.5361,2.2768,0.1193,0.2666,30
0.35,0.475,255642,126846,31783,97013,0.4962,0.1243,0.3795,0.8757,0.1837,0.424,0.7231,2.6238,2.2976,0.1127,0.26,30
0.35,0.5,255642,126846,37330,91466,0.4962,0.146,0.3578,0.854,0.1837,0.4353,0.7366,2.7026,2.3079,0.1065,0.2542,30
0.35,0.525,255642,126846,42739,86057,0.4962,0.1672,0.3366,0.8328,0.1837,0.4467,0.7499,2.7697,2.3066,0.1004,0.2483,30
0.35,0.55,255642,126846,48205,80591,0.4962,0.1886,0.3152,0.8114,0.1837,0.4592,0.763,2.8415,2.3057,0.0938,0.2415,30
0.35,0.575,255642,126846,53499,75297,0.4962,0.2093,0.2945,0.7907,0.1837,0.4719,0.7753,2.8967,2.2905,0.0875,0.2349,30
0.35,0.6,255642,126846,58706,70090,0.4962,0.2296,0.2742,0.7704,0.1837,0.485,0.7869,2.9564,2.2775,0.0814,0.2288,30
0.35,0.625,255642,126846,63910,64886,0.4962,0.25,0.2538,0.75,0.1837,0.4974,0.7989,3.0107,2.2581,0.0753,0.2225,30
0.35,0.65,255642,126846,68940,59856,0.4962,0.2697,0.2341,0.7303,0.1837,0.5092,0.8106,3.0603,2.235,0.069,0.2153,30
0.35,0.675,255642,126846,74124,54672,0.4962,0.29,0.2139,0.71,0.1837,0.5214,0.8227,3.0959,2.1982,0.0626,0.2078,30
0.35,0.7,255642,126846,79285,49511,0.4962,0.3101,0.1937,0.6899,0.1837,0.5333,0.835,3.1142,2.1484,0.0561,0.2,30
0.35,0.725,255642,126846,84636,44160,0.4962,0.3311,0.1727,0.6689,0.1837,0.5465,0.8463,3.1218,2.0882,0.0496,0.1922,30
0.35,0.75,255642,126846,89990,38806,0.4962,0.352,0.1518,0.648,0.1837,0.5598,0.8568,3.0759,1.9931,0.0432,0.1845,30
0.35,0.775,255642,126846,95317,33479,0.4962,0.3729,0.131,0.6271,0.1837,0.5714,0.8711,3.0155,1.8912,0.0366,0.1751,30
0.35,0.8,255642,126846,100761,28035,0.4962,0.3941,0.1097,0.6059,0.1837,0.5839,0.8844,2.9059,1.7605,0.03,0.1658,30
0.35,0.825,255642,126846,105764,23032,0.4962,0.4137,0.0901,0.5863,0.1837,0.5952,0.8977,2.7073,1.5872,0.024,0.1563,30
0.35,0.85,255642,126846,110452,18344,0.4962,0.4321,0.0718,0.5679,0.1837,0.6058,0.9113,2.5017,1.4208,0.0187,0.1477,30
0.35,0.875,255642,126846,114939,13857,0.4962,0.4496,0.0542,0.5504,0.1837,0.6166,0.9207,2.2045,1.2133,0.0135,0.1371,30
0.35,0.9,255642,126846,118970,9826,0.4962,0.4654,0.0384,0.5346,0.1837,0.6258,0.9338,1.8654,0.9973,0.009,0.1252,30
